Player,Tm,Age,Pos,Games G,Games GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,Scoring FGA,Scoring FGM,Scoring Lng,Scoring FG%,Scoring XPA,Scoring XPM,Scoring XP%,Kickoffs KO,Kickoffs KOYds,Kickoffs TB,Kickoffs TB%,Kickoffs KOAvg,Punting Pnt,Punting Yds,Punting Lng,Punting Blck,Punting Y/P,Year,Fpts
Daniel Carlson,LVR,26.0,K,17.0,0.0,0.0,0.0,11.0,10.0,12.0,12.0,13.0,12.0,7.0,6.0,43.0,40.0,56.0,93.0,33.0,30.0,90.9,87.0,5560.0,53.0,60.9,63.9,0.0,0.0,0.0,0.0,0.0,2021,171.0
Chris Boswell,PIT,30.0,K,17.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,13.0,11.0,9.0,8.0,40.0,36.0,56.0,90.0,29.0,27.0,93.1,86.0,5464.0,40.0,46.5,63.5,0.0,0.0,0.0,0.0,0.0,2021,160.0
Nick Folk,NWE,37.0,K,17.0,0.0,0.0,0.0,9.0,9.0,11.0,11.0,11.0,11.0,8.0,5.0,39.0,36.0,53.0,92.3,47.0,42.0,89.4,12.0,725.0,3.0,25.0,60.4,0.0,0.0,0.0,0.0,0.0,2021,166.0
Greg Joseph,MIN,27.0,K,17.0,0.0,0.0,0.0,8.0,8.0,12.0,11.0,9.0,7.0,9.0,7.0,38.0,33.0,55.0,86.8,40.0,36.0,90.0,94.0,6004.0,76.0,80.9,63.9,0.0,0.0,0.0,0.0,0.0,2021,152.0
Matt Prater,ARI,37.0,K,17.0,0.0,0.0,0.0,11.0,11.0,11.0,9.0,5.0,3.0,10.0,7.0,37.0,30.0,62.0,81.1,49.0,47.0,95.9,97.0,6013.0,73.0,75.3,62.0,0.0,0.0,0.0,0.0,0.0,2021,152.0
Justin Tucker,BAL,32.0,K,17.0,0.0,0.0,0.0,7.0,7.0,9.0,9.0,15.0,13.0,6.0,6.0,37.0,35.0,66.0,94.6,32.0,32.0,100.0,90.0,5443.0,47.0,52.2,60.5,0.0,0.0,0.0,0.0,0.0,2021,162.0
Greg Zuerlein,DAL,34.0,K,16.0,0.0,0.0,0.0,5.0,5.0,16.0,15.0,9.0,7.0,5.0,2.0,35.0,29.0,56.0,82.9,48.0,42.0,87.5,100.0,6421.0,80.0,80.0,64.2,0.0,0.0,0.0,0.0,0.0,2021,134.0
Mason Crosby,GNB,37.0,K,17.0,0.0,0.0,0.0,9.0,9.0,13.0,9.0,8.0,4.0,4.0,3.0,34.0,25.0,54.0,73.5,51.0,49.0,96.1,94.0,6030.0,43.0,45.7,64.1,0.0,0.0,0.0,0.0,0.0,2021,132.0
Matt Gay,LAR,27.0,K,17.0,0.0,0.0,0.0,6.0,6.0,15.0,15.0,8.0,7.0,5.0,4.0,34.0,32.0,55.0,94.1,49.0,48.0,98.0,102.0,6309.0,65.0,63.7,61.9,0.0,0.0,0.0,0.0,0.0,2021,158.0
Jake Elliott,PHI,26.0,K,17.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,13.0,10.0,3.0,3.0,33.0,30.0,58.0,90.9,44.0,44.0,100.0,96.0,6071.0,61.0,63.5,63.2,0.0,0.0,0.0,0.0,0.0,2021,150.0
Evan McPherson,CIN,22.0,K,16.0,0.0,0.0,0.0,5.0,5.0,8.0,8.0,9.0,6.0,11.0,9.0,33.0,28.0,58.0,84.8,48.0,46.0,95.8,91.0,5814.0,55.0,60.4,63.9,0.0,0.0,0.0,0.0,0.0,2021,152.0
Tyler Bass,BUF,24.0,K,17.0,0.0,0.0,0.0,15.0,15.0,8.0,7.0,5.0,4.0,4.0,2.0,32.0,28.0,57.0,87.5,51.0,51.0,100.0,99.0,6213.0,56.0,56.6,62.8,0.0,0.0,0.0,0.0,0.0,2021,143.0
Randy Bullock,TEN,32.0,K,16.0,0.0,0.0,0.0,5.0,5.0,12.0,12.0,13.0,8.0,1.0,1.0,31.0,26.0,51.0,83.9,45.0,42.0,93.3,89.0,5682.0,50.0,56.2,63.8,0.0,0.0,0.0,0.0,0.0,2021,127.0
Brandon McManus,DEN,30.0,K,17.0,0.0,0.0,0.0,8.0,7.0,6.0,6.0,8.0,8.0,9.0,5.0,31.0,26.0,61.0,83.9,34.0,33.0,97.1,78.0,4975.0,62.0,79.5,63.8,0.0,0.0,0.0,0.0,0.0,2021,128.0
Jason Sanders,MIA,26.0,K,17.0,0.0,0.0,0.0,6.0,6.0,9.0,7.0,10.0,8.0,6.0,2.0,31.0,23.0,51.0,74.2,35.0,34.0,97.1,78.0,4969.0,56.0,71.8,63.7,0.0,0.0,0.0,0.0,0.0,2021,114.0
Cairo Santos,CHI,30.0,K,17.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,13.0,11.0,2.0,0.0,30.0,26.0,47.0,86.7,28.0,27.0,96.4,71.0,4443.0,34.0,47.9,62.6,0.0,0.0,0.0,0.0,0.0,2021,115.0
Ryan Succop,TAM,35.0,K,17.0,0.0,0.0,0.0,11.0,11.0,8.0,7.0,10.0,7.0,1.0,0.0,30.0,25.0,48.0,83.3,59.0,56.0,94.9,1.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2021,135.0
Younghoe Koo,ATL,27.0,K,17.0,0.0,0.0,0.0,8.0,8.0,9.0,9.0,7.0,6.0,5.0,4.0,29.0,27.0,54.0,93.1,30.0,30.0,100.0,56.0,3508.0,29.0,51.8,62.6,2.0,70.0,45.0,0.0,35.0,2021,125.0
Harrison Butker,KAN,26.0,K,16.0,0.0,0.0,0.0,3.0,3.0,11.0,11.0,5.0,4.0,9.0,7.0,28.0,25.0,56.0,89.3,49.0,47.0,95.9,93.0,5853.0,61.0,65.6,62.9,1.0,31.0,31.0,0.0,31.0,2021,138.0
Matthew Wright,JAX,25.0,K,14.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.0,3.0,6.0,4.0,24.0,21.0,56.0,87.5,15.0,13.0,86.7,31.0,1883.0,6.0,19.4,60.7,0.0,0.0,0.0,0.0,0.0,2021,85.0
Robbie Gould,SFO,39.0,K,13.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,9.0,7.0,4.0,3.0,23.0,20.0,52.0,87.0,40.0,39.0,97.5,19.0,1203.0,8.0,42.1,63.3,2.0,90.0,47.0,0.0,45.0,2021,111.0
Jason Myers,SEA,30.0,K,17.0,0.0,0.0,0.0,2.0,2.0,11.0,9.0,5.0,3.0,5.0,3.0,23.0,17.0,53.0,73.9,47.0,44.0,93.6,83.0,5078.0,31.0,37.3,61.2,0.0,0.0,0.0,0.0,0.0,2021,101.0
Zane Gonzalez,CAR,26.0,K,12.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,10.0,10.0,5.0,3.0,22.0,20.0,57.0,90.9,23.0,22.0,95.7,55.0,3568.0,35.0,63.6,64.9,1.0,40.0,40.0,0.0,40.0,2021,97.0
Chase McLaughlin,CLE,25.0,K,16.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,10.0,4.0,4.0,4.0,21.0,15.0,57.0,71.4,37.0,36.0,97.3,69.0,4347.0,31.0,44.9,63.0,0.0,0.0,0.0,0.0,0.0,2021,92.0
Matt Ammendola,NYJ,25.0,K,11.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,5.0,2.0,3.0,0.0,19.0,13.0,49.0,68.4,15.0,14.0,93.3,47.0,2762.0,27.0,57.4,58.8,6.0,291.0,65.0,0.0,48.5,2021,54.0
Ka'imi Fairbairn,HOU,27.0,K,13.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,2.0,6.0,4.0,19.0,15.0,61.0,78.9,16.0,13.0,81.3,44.0,2656.0,16.0,36.4,60.4,0.0,0.0,0.0,0.0,0.0,2021,65.0
Brett Maher,NOR,32.0,K,8.0,0.0,0.0,0.0,4.0,4.0,9.0,8.0,4.0,4.0,1.0,0.0,18.0,16.0,42.0,88.9,12.0,10.0,83.3,37.0,2245.0,18.0,48.6,60.7,0.0,0.0,0.0,0.0,0.0,2021,60.0
Rodrigo Blankenship,IND,24.0,K,5.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,6.0,5.0,1.0,0.0,14.0,11.0,48.0,78.6,8.0,7.0,87.5,4.0,208.0,2.0,50.0,52.0,0.0,0.0,0.0,0.0,0.0,2021,44.0
Riley Patterson,DET,22.0,K,7.0,0.0,0.0,0.0,3.0,3.0,6.0,6.0,4.0,4.0,1.0,0.0,14.0,13.0,49.0,92.9,16.0,16.0,100.0,2.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2021,59.0
Austin Seibert,DET,25.0,K,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,5.0,2.0,1.0,12.0,10.0,52.0,83.3,5.0,5.0,100.0,26.0,1324.0,5.0,19.2,50.9,0.0,0.0,0.0,0.0,0.0,2021,42.0
Eddy Pineiro,NYJ,26.0,K,5.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,8.0,8.0,51.0,100.0,10.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,37.0
Tristan Vizcaino,LAC,25.0,K,6.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,7.0,6.0,46.0,85.7,15.0,10.0,66.7,31.0,1996.0,13.0,41.9,64.4,1.0,32.0,32.0,0.0,32.0,2021,24.0
Chris Blewitt,WAS,26.0,K,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,5.0,2.0,52.0,40.0,2.0,2.0,100.0,6.0,335.0,5.0,83.3,55.8,0.0,0.0,0.0,0.0,0.0,2021,11.0
Dominik Eberle,HOU,25.0,K,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,51.0,66.7,5.0,5.0,100.0,8.0,504.0,3.0,37.5,63.0,0.0,0.0,0.0,0.0,0.0,2021,13.0
Josh Lambo,JAX,31.0,K,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,5.0,71.4,10.0,595.0,7.0,70.0,59.5,0.0,0.0,0.0,0.0,0.0,2021,3.0
Chris Naggar,CLE,24.0,K,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,100.0,2.0,1.0,50.0,5.0,317.0,3.0,60.0,63.4,0.0,0.0,0.0,0.0,0.0,2021,3.0
Michael Dickson,SEA,25.0,K,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,3895.0,68.0,0.0,46.9,2021,0.0
Rigoberto Sanchez,IND,27.0,K,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,5687.0,44.0,49.4,63.9,59.0,2627.0,79.0,0.0,44.5,2021,0.0
JK Scott,JAX,26.0,K,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,159.0,47.0,0.0,39.8,2021,0.0
Alex Kessman,NYJ,23.0,K,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,246.0,1.0,25.0,61.5,0.0,0.0,0.0,0.0,0.0,2021,-2.0
Cody Parkey,NOR,29.0,K,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,3.0,195.0,1.0,33.3,65.0,0.0,0.0,0.0,0.0,0.0,2021,1.0
