Player,Player,Tm,Age,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,QBR,Sk,Yds2,Sk%,NY/A,ANY/A,4QC,GWD,Wins,Year,Fpts
Tom Brady,Tom Brady,TAM,44.0,QB,17.0,17.0,485.0,719.0,67.5,5316.0,43.0,6.0,12.0,1.7,269.0,62.0,7.4,7.8,11.0,312.7,102.1,22.0,144.0,3.0,6.98,7.41,3.0,5.0,13.0,2021,446.64
Justin Herbert,Justin Herbert,LAC,23.0,QB,17.0,17.0,443.0,672.0,65.9,5014.0,38.0,5.7,15.0,2.2,256.0,72.0,7.5,7.6,11.3,294.9,97.7,31.0,214.0,4.4,6.83,6.95,5.0,5.0,9.0,2021,398.56
Matthew Stafford,Matthew Stafford,LAR,33.0,QB,17.0,17.0,404.0,601.0,67.2,4886.0,41.0,6.8,17.0,2.8,247.0,79.0,8.1,8.2,12.1,287.4,102.9,30.0,243.0,4.8,7.36,7.45,3.0,4.0,12.0,2021,407.44
Patrick Mahomes,Patrick Mahomes,KAN,26.0,QB,17.0,17.0,436.0,658.0,66.3,4839.0,37.0,5.6,13.0,2.0,260.0,75.0,7.4,7.6,11.1,284.6,98.5,28.0,146.0,4.1,6.84,7.07,3.0,3.0,12.0,2021,389.56
Derek Carr,Derek Carr,LVR,30.0,QB,17.0,17.0,428.0,626.0,68.4,4804.0,23.0,3.7,14.0,2.2,217.0,61.0,7.7,7.4,11.2,282.6,94.0,40.0,241.0,6.0,6.85,6.6,3.0,6.0,10.0,2021,302.16
Joe Burrow,Joe Burrow,CIN,25.0,QB,16.0,16.0,366.0,520.0,70.4,4611.0,34.0,6.5,14.0,2.7,211.0,82.0,8.9,9.0,12.6,288.2,108.3,51.0,370.0,8.9,7.43,7.51,2.0,3.0,10.0,2021,360.44
Dak Prescott,Dak Prescott,DAL,28.0,QB,16.0,16.0,410.0,596.0,68.8,4449.0,37.0,6.2,10.0,1.7,227.0,51.0,7.5,8.0,10.9,278.1,104.2,30.0,144.0,4.8,6.88,7.34,1.0,2.0,11.0,2021,379.96
Josh Allen,Josh Allen,BUF,25.0,QB,17.0,17.0,409.0,646.0,63.3,4407.0,36.0,5.6,15.0,2.3,234.0,61.0,6.8,6.9,10.8,259.2,92.2,26.0,164.0,3.9,6.31,6.38,0.0,0.0,11.0,2021,362.28
Kirk Cousins,Kirk Cousins,MIN,33.0,QB,16.0,16.0,372.0,561.0,66.3,4221.0,33.0,5.9,7.0,1.2,192.0,64.0,7.5,8.1,11.3,263.8,103.1,28.0,197.0,4.8,6.83,7.42,3.0,4.0,8.0,2021,352.84000000000003
Aaron Rodgers,Aaron Rodgers,GNB,38.0,QB,16.0,16.0,366.0,531.0,68.9,4115.0,37.0,7.0,4.0,0.8,213.0,75.0,7.7,8.8,11.2,257.2,111.9,30.0,188.0,5.3,7.0,8.0,1.0,2.0,13.0,2021,378.6
Matt Ryan,Matt Ryan,ATL,36.0,QB,17.0,17.0,375.0,560.0,67.0,3968.0,20.0,3.6,12.0,2.1,195.0,64.0,7.1,6.8,10.6,233.4,90.4,40.0,274.0,6.7,6.16,5.92,3.0,4.0,7.0,2021,254.72000000000003
Jimmy Garoppolo,Jimmy Garoppolo,SFO,30.0,QB,15.0,15.0,301.0,441.0,68.3,3810.0,20.0,4.5,12.0,2.7,172.0,83.0,8.6,8.3,12.7,254.0,98.7,29.0,201.0,6.2,7.68,7.38,3.0,3.0,9.0,2021,248.4
Mac Jones,Mac Jones,NWE,23.0,QB,17.0,17.0,352.0,521.0,67.6,3801.0,22.0,4.2,13.0,2.5,177.0,75.0,7.3,7.0,10.8,223.6,92.5,28.0,241.0,5.1,6.48,6.22,1.0,1.0,10.0,2021,258.04
Kyler Murray,Kyler Murray,ARI,24.0,QB,14.0,14.0,333.0,481.0,69.2,3787.0,24.0,5.0,10.0,2.1,172.0,77.0,7.9,7.9,11.4,270.5,100.6,31.0,286.0,6.1,6.84,6.9,1.0,1.0,9.0,2021,275.48
Ben Roethlisberger,Ben Roethlisberger,PIT,39.0,QB,16.0,16.0,390.0,605.0,64.5,3740.0,22.0,3.6,10.0,1.7,188.0,59.0,6.2,6.2,9.6,233.8,86.8,38.0,239.0,5.9,5.44,5.43,6.0,7.0,9.0,2021,261.6
Ryan Tannehill,Ryan Tannehill,TEN,33.0,QB,17.0,17.0,357.0,531.0,67.2,3734.0,21.0,4.0,14.0,2.6,192.0,57.0,7.0,6.6,10.5,219.6,89.6,47.0,327.0,8.1,5.89,5.53,3.0,4.0,12.0,2021,247.36
Trevor Lawrence,Trevor Lawrence,JAX,22.0,QB,17.0,17.0,359.0,602.0,59.6,3641.0,12.0,2.0,17.0,2.8,177.0,58.0,6.0,5.2,10.1,214.2,71.9,32.0,238.0,5.0,5.37,4.54,1.0,2.0,3.0,2021,183.64
Carson Wentz,Carson Wentz,IND,29.0,QB,17.0,17.0,322.0,516.0,62.4,3563.0,27.0,5.2,7.0,1.4,165.0,76.0,6.9,7.3,11.1,209.6,94.6,32.0,227.0,5.8,6.09,6.5,0.0,0.0,9.0,2021,290.52
Taylor Heinicke,Taylor Heinicke,WAS,28.0,QB,16.0,15.0,321.0,494.0,65.0,3419.0,20.0,4.0,15.0,3.0,167.0,73.0,6.9,6.4,10.7,213.7,85.9,38.0,278.0,7.1,5.9,5.39,3.0,4.0,7.0,2021,226.76
Jared Goff,Jared Goff,DET,27.0,QB,14.0,14.0,332.0,494.0,67.2,3245.0,19.0,3.8,8.0,1.6,162.0,63.0,6.6,6.6,9.8,231.8,91.5,35.0,280.0,6.6,5.6,5.64,2.0,2.0,3.0,2021,227.8
Jalen Hurts,Jalen Hurts,PHI,23.0,QB,15.0,15.0,265.0,432.0,61.3,3144.0,16.0,3.7,9.0,2.1,143.0,91.0,7.3,7.1,11.9,209.6,87.2,26.0,150.0,5.7,6.54,6.35,2.0,2.0,8.0,2021,203.76
Russell Wilson,Russell Wilson,SEA,33.0,QB,14.0,14.0,259.0,400.0,64.8,3113.0,25.0,6.3,6.0,1.5,135.0,69.0,7.8,8.4,12.0,222.4,103.1,33.0,266.0,7.6,6.58,7.11,0.0,1.0,6.0,2021,262.52
Teddy Bridgewater,Teddy Bridgewater,DEN,29.0,QB,14.0,14.0,285.0,426.0,66.9,3052.0,18.0,4.2,7.0,1.6,146.0,64.0,7.2,7.3,10.7,218.0,94.9,31.0,211.0,6.8,6.22,6.32,0.0,1.0,7.0,2021,216.08
Baker Mayfield,Baker Mayfield,CLE,26.0,QB,14.0,14.0,253.0,418.0,60.5,3010.0,17.0,4.1,13.0,3.1,143.0,71.0,7.2,6.6,11.9,215.0,83.1,43.0,269.0,9.3,5.95,5.41,0.0,0.0,6.0,2021,196.4
Lamar Jackson,Lamar Jackson,BAL,24.0,QB,12.0,12.0,246.0,382.0,64.4,2882.0,16.0,4.2,13.0,3.4,135.0,49.0,7.5,6.9,11.7,240.2,87.0,38.0,190.0,9.0,6.41,5.78,4.0,4.0,7.0,2021,185.28
Davis Mills,Davis Mills,HOU,23.0,QB,13.0,11.0,263.0,394.0,66.8,2664.0,16.0,4.1,10.0,2.5,118.0,67.0,6.8,6.4,10.1,204.9,88.8,31.0,206.0,7.3,5.78,5.48,0.0,0.0,2.0,2021,182.56
Tua Tagovailoa,Tua Tagovailoa,MIA,23.0,QB,13.0,12.0,263.0,388.0,67.8,2653.0,16.0,4.1,10.0,2.6,137.0,65.0,6.8,6.5,10.1,204.1,90.1,20.0,152.0,4.9,6.13,5.81,0.0,2.0,7.0,2021,182.12
Sam Darnold,Sam Darnold,CAR,24.0,QB,12.0,11.0,243.0,406.0,59.9,2527.0,9.0,2.2,13.0,3.2,123.0,63.0,6.2,5.2,10.4,210.6,71.9,35.0,204.0,7.9,5.27,4.35,0.0,0.0,4.0,2021,129.07999999999998
Daniel Jones,Daniel Jones,NYG,24.0,QB,11.0,11.0,232.0,361.0,64.3,2428.0,10.0,2.8,7.0,1.9,116.0,54.0,6.7,6.4,10.5,220.7,84.8,22.0,160.0,5.7,5.92,5.62,1.0,1.0,4.0,2021,143.12
Zach Wilson,Zach Wilson,NYJ,22.0,QB,13.0,13.0,213.0,383.0,55.6,2334.0,9.0,2.3,11.0,2.9,112.0,54.0,6.1,5.3,11.0,179.5,69.7,44.0,370.0,10.3,4.6,3.86,1.0,1.0,3.0,2021,125.36
Justin Fields,Justin Fields,CHI,22.0,QB,12.0,10.0,159.0,270.0,58.9,1870.0,7.0,2.6,10.0,3.7,83.0,64.0,6.9,5.8,11.8,155.8,73.2,36.0,264.0,11.8,5.25,4.24,0.0,0.0,2.0,2021,96.8
Andy Dalton,Andy Dalton,CHI,34.0,QB,8.0,6.0,149.0,236.0,63.1,1515.0,8.0,3.4,9.0,3.8,83.0,60.0,6.4,5.4,10.2,189.4,76.9,18.0,143.0,7.1,5.4,4.44,1.0,1.0,3.0,2021,90.6
Jacoby Brissett,Jacoby Brissett,MIA,29.0,QB,11.0,5.0,141.0,225.0,62.7,1283.0,5.0,2.2,4.0,1.8,69.0,52.0,5.7,5.3,9.1,116.6,78.1,19.0,132.0,7.8,4.72,4.39,0.0,0.0,2.0,2021,73.32
Jameis Winston,Jameis Winston,NOR,27.0,QB,7.0,7.0,95.0,161.0,59.0,1170.0,14.0,8.7,3.0,1.9,56.0,72.0,7.3,8.2,12.3,167.1,102.8,11.0,69.0,6.4,6.4,7.24,0.0,1.0,5.0,2021,124.8
Trevor Siemian,Trevor Siemian,NOR,30.0,QB,6.0,4.0,108.0,188.0,57.4,1154.0,11.0,5.9,3.0,1.6,61.0,46.0,6.1,6.6,10.7,192.3,88.4,9.0,64.0,4.6,5.53,5.96,1.0,1.0,0.0,2021,106.16
Tyler Huntley,Tyler Huntley,BAL,23.0,QB,7.0,4.0,122.0,188.0,64.9,1081.0,3.0,1.6,4.0,2.1,55.0,43.0,5.8,5.1,8.9,154.4,76.6,18.0,107.0,8.7,4.73,4.15,1.0,1.0,1.0,2021,53.24
Taysom Hill,Taysom Hill,NOR,31.0,QB,12.0,9.0,78.0,134.0,58.2,978.0,4.0,3.0,5.0,3.7,43.0,70.0,7.3,6.2,12.5,81.5,75.4,9.0,64.0,6.3,6.39,5.38,0.0,0.0,4.0,2021,53.12
Tyrod Taylor,Tyrod Taylor,HOU,32.0,QB,6.0,6.0,91.0,150.0,60.7,966.0,5.0,3.3,5.0,3.3,44.0,52.0,6.4,5.6,10.6,161.0,76.7,13.0,119.0,8.0,5.2,4.43,0.0,0.0,2.0,2021,58.64
Mike White,Mike White,NYJ,26.0,QB,4.0,3.0,88.0,132.0,66.7,953.0,5.0,3.8,8.0,6.1,49.0,28.0,7.2,5.3,10.8,238.3,75.1,4.0,18.0,2.9,6.88,4.96,1.0,1.0,1.0,2021,52.120000000000005
Mike Glennon,Mike Glennon,NYG,32.0,QB,6.0,4.0,90.0,167.0,53.9,790.0,4.0,2.4,10.0,6.0,43.0,60.0,4.7,2.5,8.8,131.7,49.7,9.0,68.0,5.1,4.1,2.0,0.0,0.0,0.0,2021,35.6
Drew Lock,Drew Lock,DEN,25.0,QB,6.0,3.0,67.0,111.0,60.4,787.0,2.0,1.8,2.0,1.8,32.0,44.0,7.1,6.6,11.7,131.2,80.4,9.0,52.0,7.5,6.13,5.71,0.0,0.0,0.0,2021,39.48
Colt McCoy,Colt McCoy,ARI,35.0,QB,8.0,3.0,74.0,99.0,74.7,740.0,3.0,3.0,1.0,1.0,39.0,50.0,7.5,7.6,10.0,92.5,101.4,6.0,40.0,5.7,6.67,6.81,0.0,0.0,2.0,2021,45.6
Geno Smith,Geno Smith,SEA,31.0,QB,4.0,3.0,65.0,95.0,68.4,702.0,5.0,5.3,1.0,1.1,31.0,84.0,7.4,8.0,10.8,175.5,103.0,13.0,117.0,12.0,5.42,5.93,0.0,0.0,1.0,2021,56.08
Cam Newton,Cam Newton,CAR,32.0,QB,8.0,5.0,69.0,126.0,54.8,684.0,4.0,3.2,5.0,4.0,32.0,64.0,5.4,4.3,9.9,85.5,64.4,10.0,83.0,7.4,4.42,3.35,0.0,0.0,0.0,2021,41.36
Trey Lance,Trey Lance,SFO,21.0,QB,6.0,2.0,41.0,71.0,57.7,603.0,5.0,7.0,2.0,2.8,27.0,76.0,8.5,8.6,14.7,100.5,97.3,4.0,15.0,5.3,7.84,7.97,0.0,0.0,1.0,2021,50.120000000000005
Tim Boyle,Tim Boyle,DET,27.0,QB,5.0,3.0,61.0,94.0,64.9,526.0,3.0,3.2,6.0,6.4,28.0,42.0,5.6,3.4,8.6,105.2,63.5,0.0,0.0,0.0,5.6,3.36,0.0,0.0,0.0,2021,27.04
Case Keenum,Case Keenum,CLE,33.0,QB,7.0,2.0,47.0,72.0,65.3,462.0,3.0,4.2,1.0,1.4,25.0,34.0,6.4,6.6,9.8,66.0,91.3,5.0,29.0,6.5,5.62,5.82,0.0,0.0,2.0,2021,34.480000000000004
Gardner Minshew II,Gardner Minshew II,PHI,25.0,QB,4.0,2.0,41.0,60.0,68.3,439.0,4.0,6.7,1.0,1.7,24.0,36.0,7.3,7.9,10.7,109.8,104.8,5.0,31.0,7.7,6.28,6.82,0.0,0.0,1.0,2021,39.56
Cooper Rush,Cooper Rush,DAL,28.0,QB,5.0,1.0,30.0,47.0,63.8,422.0,3.0,6.4,1.0,2.1,18.0,73.0,9.0,9.3,14.1,84.4,105.1,3.0,19.0,6.0,8.06,8.36,1.0,1.0,1.0,2021,32.879999999999995
Jordan Love,Jordan Love,GNB,23.0,QB,6.0,1.0,36.0,62.0,58.1,411.0,2.0,3.2,3.0,4.8,22.0,62.0,6.6,5.1,11.4,68.5,68.7,3.0,23.0,4.6,5.97,4.51,0.0,0.0,0.0,2021,22.44
P.J. Walker,P.J. Walker,CAR,26.0,QB,5.0,1.0,36.0,66.0,54.5,362.0,1.0,1.5,3.0,4.5,19.0,24.0,5.5,3.7,10.1,72.4,56.5,7.0,47.0,9.6,4.32,2.74,0.0,0.0,1.0,2021,14.48
Joe Flacco,Joe Flacco,NYJ,36.0,QB,2.0,1.0,27.0,42.0,64.3,338.0,3.0,7.1,0.0,0.0,14.0,62.0,8.0,9.5,12.5,169.0,113.0,2.0,13.0,4.5,7.39,8.75,0.0,0.0,0.0,2021,31.52
Mason Rudolph,Mason Rudolph,PIT,26.0,QB,2.0,1.0,35.0,58.0,60.3,277.0,1.0,1.7,1.0,1.7,16.0,36.0,4.8,4.3,7.9,138.5,70.8,0.0,0.0,0.0,4.78,4.34,1.0,0.0,0.0,2021,15.079999999999998
Nick Foles,Nick Foles,CHI,32.0,QB,1.0,1.0,24.0,35.0,68.6,250.0,1.0,2.9,0.0,0.0,14.0,30.0,7.1,7.7,10.4,250.0,98.5,4.0,21.0,10.3,5.87,6.38,1.0,1.0,1.0,2021,16.0
Brian Hoyer,Brian Hoyer,NWE,36.0,QB,5.0,0.0,9.0,11.0,81.8,227.0,1.0,9.1,0.0,0.0,8.0,48.0,20.6,22.5,25.2,45.4,149.1,0.0,0.0,0.0,20.64,22.45,0.0,0.0,0.0,2021,15.08
Jake Fromm,Jake Fromm,NYG,23.0,QB,3.0,2.0,27.0,60.0,45.0,210.0,1.0,1.7,3.0,5.0,10.0,36.0,3.5,1.6,7.8,70.0,38.9,6.0,33.0,9.1,2.68,0.94,0.0,0.0,0.0,2021,8.4
Garrett Gilbert,Garrett Gilbert,WAS,30.0,QB,1.0,1.0,20.0,31.0,64.5,194.0,0.0,0.0,0.0,0.0,8.0,46.0,6.3,6.3,9.7,194.0,81.9,2.0,20.0,6.1,5.27,5.27,0.0,0.0,0.0,2021,7.76
Sean Mannion,Sean Mannion,MIN,29.0,QB,1.0,1.0,22.0,36.0,61.1,189.0,1.0,2.8,0.0,0.0,8.0,30.0,5.3,5.8,8.6,189.0,84.1,2.0,15.0,5.3,4.58,5.11,0.0,0.0,0.0,2021,13.56
Brandon Allen,Brandon Allen,CIN,29.0,QB,6.0,1.0,17.0,34.0,50.0,149.0,2.0,5.9,0.0,0.0,5.0,26.0,4.4,5.6,8.8,24.8,81.6,4.0,33.0,10.5,3.05,4.11,0.0,1.0,0.0,2021,17.96
Nick Mullens,Nick Mullens,CLE,26.0,QB,1.0,1.0,20.0,30.0,66.7,147.0,1.0,3.3,0.0,0.0,9.0,25.0,4.9,5.6,7.4,147.0,89.2,0.0,0.0,0.0,4.9,5.57,0.0,0.0,0.0,2021,11.88
Ian Book,Ian Book,NOR,23.0,QB,1.0,1.0,12.0,20.0,60.0,135.0,0.0,0.0,2.0,10.0,5.0,56.0,6.8,2.3,11.3,135.0,40.6,8.0,54.0,28.6,2.89,-0.32,0.0,0.0,0.0,2021,1.4000000000000004
Kyle Allen,Kyle Allen,WAS,25.0,QB,2.0,0.0,12.0,19.0,63.2,120.0,1.0,5.3,0.0,0.0,6.0,19.0,6.3,7.4,10.0,60.0,98.6,2.0,5.0,9.5,5.48,6.43,0.0,0.0,0.0,2021,10.8
Chad Henne,Chad Henne,KAN,36.0,QB,4.0,0.0,11.0,16.0,68.8,82.0,0.0,0.0,0.0,0.0,6.0,17.0,5.1,5.1,7.5,20.5,80.7,0.0,0.0,0.0,5.13,5.13,0.0,0.0,0.0,2021,3.28
Blaine Gabbert,Blaine Gabbert,TAM,32.0,QB,6.0,0.0,7.0,11.0,63.6,67.0,0.0,0.0,0.0,0.0,4.0,23.0,6.1,6.1,9.6,11.2,80.5,1.0,10.0,8.3,4.75,4.75,0.0,0.0,0.0,2021,2.68
Mitchell Trubisky,Mitchell Trubisky,BUF,27.0,QB,6.0,0.0,6.0,8.0,75.0,43.0,0.0,0.0,1.0,12.5,2.0,15.0,5.4,-0.3,7.2,7.2,47.4,0.0,0.0,0.0,5.38,-0.25,0.0,0.0,0.0,2021,-0.28
Chris Streveler,Chris Streveler,ARI,26.0,QB,2.0,0.0,6.0,9.0,66.7,36.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,4.0,6.0,18.0,74.3,2.0,17.0,18.2,1.73,1.73,0.0,0.0,0.0,2021,1.44
C.J. Beathard,C.J. Beathard,JAX,28.0,QB,2.0,0.0,2.0,2.0,100.0,33.0,0.0,0.0,0.0,0.0,1.0,28.0,16.5,16.5,16.5,16.5,118.7,0.0,0.0,0.0,16.5,16.5,0.0,0.0,0.0,2021,1.32
Jacob Eason,Jacob Eason,IND,24.0,QB,1.0,0.0,2.0,5.0,40.0,25.0,0.0,0.0,1.0,20.0,2.0,10.0,5.0,-4.0,12.5,25.0,16.7,0.0,0.0,0.0,5.0,-4.0,0.0,0.0,0.0,2021,-1.0
Josh Rosen,Josh Rosen,ATL,24.0,QB,4.0,0.0,2.0,11.0,18.2,19.0,0.0,0.0,2.0,18.2,1.0,14.0,1.7,-6.5,9.5,4.8,0.0,0.0,0.0,0.0,1.73,-6.45,0.0,0.0,0.0,2021,-3.24
Ryan Fitzpatrick,Ryan Fitzpatrick,WAS,39.0,QB,1.0,1.0,3.0,6.0,50.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,2.2,2.2,4.3,13.0,56.2,1.0,2.0,14.3,1.57,1.57,0.0,0.0,0.0,2021,0.52
Kellen Mond,Kellen Mond,MIN,22.0,QB,1.0,0.0,2.0,3.0,66.7,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1.7,1.7,2.5,5.0,70.1,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,2021,0.2
John Wolford,John Wolford,LAR,26.0,QB,3.0,0.0,1.0,4.0,25.0,5.0,0.0,0.0,1.0,25.0,0.0,5.0,1.3,-10.0,5.0,1.7,0.0,1.0,8.0,20.0,-0.6,-9.6,0.0,0.0,0.0,2021,-1.8
Marcus Mariota,Marcus Mariota,LVR,28.0,QB,10.0,0.0,1.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,0.4,56.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2021,0.16
Feleipe Franks,Feleipe Franks,ATL,24.0,QB,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,2021,-2.0
Brett Rypien,Brett Rypien,DEN,25.0,QB,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,0.0
